ID,description,floor_level
165,"СТРОЙДВОР КУПАВНА приглашает к сотрудничеству арендаторов. Наш торгово-складской комплекс состоит из четырнадцати торговых зданий. Павильоны одноэтажные, по высоте 5,2 метров, предусмотрены закладные, что позволяет организовать второй этаж для хранения нетяжелых предметов.Все павильоны электрифицированы (3 кВт на ячейку) и отапливаемые. Павильоны выполнены из современных энергосберегающих материалов, являются капитальными строениями и официально оформлены.Стоит пожарная сигнализация и видеонаблюдение.Павильоны по 48кв.м. Ячейки проходные (выход на 2 стороны павильона). При заключении договора действует акция: 300руб. за кв.м. первые три месяца.",
166,"Продается помещение свободного назначения под любой вид деятельности (офис, магазин и пр.), расположенное на первой улице домов. Ранее в данном помещении размещалось отделение банка. Общая площадь помещения - 985,9 кв.м., из которых цоколь с окнами - 724,7 кв.м. и 1-й этаж - 261,2 кв.м. Состояние хорошее. Парковка.[#946038#]",
167,"Продаюися нежилые помещения на первом и цокольном этажах общей площадью 228,4 кв.м, расположенные по адресу: Республика Татарстан, г.Казань, ул.Лево-Булачная,д.24/20 Для получения более подробной информации просьба обращаться по телефону.[#1151274#]",
168,"Продается этаж (1 650 кв. м) в офисном здании по адресу: ул. Нижегородская, 32, стр. А. 1-я линия домов Нижегородской улицы, удобный выезд на ТТК. Готовый арендный бизнес, помещения сданы в аренду под дата-центр. Срок окупаемости - 7 лет[#978192#]",
169,"Продается 3-этажное нежилое помещение (часть административного здания) площадью 595,9 кв.м с двумя отдельными входами со стороны фасада.: 1 этаж - 236,6 кв.м, высота потолков - 3,1 м. 2 этаж - 245,1 кв.м, высота потолков - 3,2 м. 3 этаж - 114,2 кв.м, высота потолков - 2,8 м. Коммуникации в рабочем состоянии, парковка на прилегающей территории. Ранее в помещении располагалось отделение банка. Прямая продажа от Собственника (Банк) без обременений по договору купли-продажи. Дополнительную информацию направим по запросу.[#1182968#]",
170,"СТРОЙДВОР КУПАВНА приглашает к сотрудничеству арендаторов. Наш торгово-складской комплекс состоит из четырнадцати торговых зданий. Павильоны одноэтажные, по высоте 5,2 метров, предусмотрены закладные, что позволяет организовать второй этаж для хранения нетяжелых предметов.Все павильоны электрифицированы (3 кВт на ячейку) и отапливаемые. Павильоны выполнены из современных энергосберегающих материалов, являются капитальными строениями и официально оформлены.Стоит пожарная сигнализация и видеонаблюдение.Павильоны по 48кв.м. Ячейки проходные (выход на 2 стороны павильона). При заключении договора действует акция: 300руб. за кв.м. первые три месяца.",
171,"БЕЗ КОМИССИИ! [ПРОДАЕТСЯ помещение под услуги/офис] 250 метров от метро м.Смоленская, 274м2, 1-я линия домов, 1-й этаж - ресепшн, 2-й этаж – офис, в элитном жилом доме с отдельным входом, высота потолков 3.5 м, электрическая мощность 60 кВт выполнен качественный ремонт. Телефон. Интернет. Центральное кондиционирование. Выведен из жилого фонда. Назначение офис, медицинский центр, салон красоты. Стоимость Объекта 2 500 000$",
172,"Продается часть здания на первом этаже общей площадью 137,1 кв. м. Адрес: Удмуртская Республика, п. Игра, микрорайон Нефтяников, д. 1. Объект находится на улице со средним трафиком. Оперативный показ. Сделка через прямой договор купли-продажи. Подробную информацию и условия приобретения можно уточнить по номеру, указанному в объявлении.[#1191426#]",
173,"Сдается в аренду помещение свободного назначения на 1 этаже здания. Отдельная входная группа для посетителей, свой дебаркадер для разгрузки товара, служебный вход. Свободная планировка колонного типа, большие окна. Долгосрочный договор. Второй действующий арендатор в здании - супермаркет 'Верный' (федеральная сеть). До настоящего времени помещение использовалось под ресторан. Сделан соответствующий ремонт. Электроснабжение на указанное помещение - 48,5 кВт. Здание расположено рядом с проезжей частью, хорошо просматривается с дороги. Около каждого входа - парковка для посетителей. Здание расположено в жилом районе, недалеко от зданий УРГУПС и Юр. Академии, между жилыми комплексами 'Ольховский парк', 'Первый Николаевский', 'Татлин', 'Ольховский парк - 2' (план в разработке).[#1195503#]",
174,"В г.Нижневартовск на перекрестке центральных улиц Мира и Маршала Жукова продается многофункциональное четырехэтажное здание общественного центра «Форум». Общая площадь здания 2 528,6 м2. 1 этаж – торговая площадь м2 2 этаж – торговая площадь 470 м2 3 этаж – торговая площадь 464 м2 4 этаж – торговая площадь 490 м2 Здание оборудовано лифтом, тремя лестницами, вентиляцией, санузлами на каждом этаже. На 2 и 3 этаже имеются кабинеты по 18 м2. Парковка рассчитана на _____ мест, заезды с улиц Мира и Маршала Жукова. Рассмотрим варианты покупки, поэтажной покупки здания, аренды, поэтажной аренды.",
175,"Продается магазин площадью 800 метров м. Нагатинская на Варшавском шоссе,1-ая линия домов,1 этаж и подвал жилого дома. Витринные окна , открытая планировка, 3 отдельных входа , проездное место.Цена 95000000 рублей.Без комиссии. Александр 89267164356",
176,Центр полностью в аренде. На первом этаже магазин ПАТЕРСОН,
177,"Сдам в аренду помещения на 2м этаже строительного магазина на взаимовыгодных условиях, по всем вопросам обращайтесь по телефону.",
178,"Предлагаем в аренду помещения свободного назначения в ТЦ 'Метромаркет' на первой линии Ленинградского проспекта. Отличная видимость ТЦ со всех направлений движения автомобильного транспорта и пешеходного потока. Один из входов в ТЦ прямо со станции метро 'Сокол'. Среднесуточный пассажиропоток станции 82 000 человек. Свободные блоки: цоколь - 91,2 м2 -395 000 руб/месяц 1 этаж - 42,1 м2 - 500 000 руб/месяц 1 этаж - 40,5 м2 - 380 000 руб/месяц 1 этаж - 50,0 м2 - 500 000 руб/месяц 1 этаж - 78,2 м2 - 565 000 руб/месяц 3 этаж - 20 м2 - 180 000 руб/месяц 3 этаж - 32 м2 - 140 000 руб/месяц Арендная ставка включает ОРЕX и НДС. Высота потолка 4 м. Все городские инженерные коммуникации, вентиляция, система пожаротушения, ремонт. Место для размещения вывески на фасаде здания. Парковка. Аренда прямая. УСН. Депозит 100%. Договор предпочтительно долгосрочный. Арендные каникулы обсуждаются. Деление обсуждается. Торговое окружение: зоотовары 'Бетховен', минимаркет 'Фреш Фуд', банк 'Авангард', магазины одежды и обуви, ломбард, 'Айкрафт оптика', магазины косметики, салон связи 'МегаФон', 'Читай город', 'Кофейная кантата', маникюрный салон Лены Лениной, 'Toy. ru', 'Sela' и др.",
179,"Предлагаем в аренду торговые площади в 6-ти этажном торговом центре 'Садовая Галерея' на 1-й линии Сухаревской площади. Торгово-офисный центр 'Садовая галерея' обладает высокой транспортной доступностью, благодаря близости транспортных магистралей столицы и станции метрополитена 'Сухаревская'. Сверх интенсивный пешеходный и автомобильный трафик вдоль здания. Помещение зальной планировки. Все городские инженерные коммуникации. Здание оснащено 3 скоростными лифтами фирмы «Shindler» грузоподъемностью 1 000 кг. Центральная система вентиляции и кондиционирования. Подземная парковка, охрана. На первом этаже возможен вариант планировки (см план) -свободна площадь 225 м2, можно сделать дополнительный вход для работы в формате 24 часа или служебный вход. Свободные площади: -1 этаж - 962 м2 (с делением от 15 м2) 1 этаж - 500 м2 (с делением от 15 м2) 2 этаж - 534 м2 (с делением от 15 м2) ставка - 1 этаж - 10 000 руб/м2/месяц + НДС 2 этаж - 3 750 руб/м2/месяц + НДС Арендная ставка за -1 этаж 40 000 руб/м2/год + НДС. Аренда прямая. УСН. Депозит 100%. Договор предпочтительно долгосрочный. Арендаторами данного ТЦ на 1 этаже являются: магазин косметики и парфюмерии 'Л*Этуаль', магазин натуральной косметики 'L'Occitane', ресторан 'Макдоналдс', салон связи 'Теlе2', магазин косметики 'Галерея косметики', бутик женской одежды 'MARIUM', дизайнерская одежда 'Flandria Fashion', кожгалантерея. Арендаторы на 2 этаже: ресторан 'Макдоналдс', магазин одежды 'Кларисса', магазин мужской одежды 'CAVALIERE', ювелирный магазин 'Галерея Юм', магазин детских товаров 'Toy.ru', магазин женской одежды 'LA BELLE', магазин одежды 'MODE', туристическая компания 'Монпарнас-тур'.",
180,"Первый этаж активно развивающегося жилого микрорайона, витражное остекление. Выход на две стороны дома.",
181,"ТЦ Перми Продажа/аренда. К покупке и аренде предлагаются как площади в ТЦ так и ТЦ целиком ТОЦ ул. Чернышевского, S=18 500 м2 ТЦ пр. Парковый, S=13 200 м2 ТЦ ул. Куйбышева, S= 3 600 м2 ТЦ ул. Кирова, S=6 700 м2 ТЦ ул.Сибирская, S= 6 000 м2 Торговые галереи в ТРК ул. Мира, S=7 310 м2. ТЦ г. Березники, S= 830 м2 ТЦ г. Лысьва, второй этаж S=700 м2 ТЦ г. Краснокамск, S= 2 848 м2 Стоимость и дополнительные вопросы при встрече или телефону.",
182,"г. Балашиха пр.ЛЕНИНА, первая линия домов, спальный район,проходное место : отдельностоящее здание 300 кв.м.-первый этаж торговой площади,СДЕЛАН ХОРОШИЙ РЕМОНТ, 42кв.электроэнергии, санузел, кабинет , кассовая комната, подсобное помещение, огороженный двор,удобный проезд для разгрузки, парковка перед магазином + цокольный этаж в этом-же здании с отдельным входом - 240 кв.м. 1174 кв.м. С уважением Андрей Викторович контактный телефон : 8 916 430 57 67",
183,"Без комиссии прямая длительная аренда торгового помещения от собственника . Первая линия домов ,проездное и проходное место , рядом, в пятидесяти метрах две остановки общественного транспорта и подземный переход .Парковка на соседней улице в минуте от входа пешком. Хорошая видимость и место под вывеску. Помещение расположено на двух уровнях : на первом этаже-325 кв.м. в подвале-175 кв.м. Возможна аренда по этажам.. Мощность электричества до 200 кВт. В настоящее время расположен магазин мебели ,ранее был ресторан..Помещение сдается и подойдет под любой вид бизнеса . Под медицинский центр , под банк ,под салон красоты, спа-центр,торговлю мебелью, техникой,товарами для дома, товарами для ремонта, продуктовый магазин, автозапчасти, цветы, одежду, обувь, и др. Все варианты.Возможно под общепит-есть вытяжка. Долгосрочный договор.",
184,"Продается этаж (1 650 кв. м) в офисном здании по адресу: ул. Нижегородская, 32, стр. А. 1-я линия домов Нижегородской улицы, удобный выезд на ТТК. Готовый арендный бизнес, помещения сданы в аренду под дата-центр. Срок окупаемости - 7 лет[#978192#]",
185,"Разыскиваю ЛУЧШЕГО ПОКУПАТЕЛЯ на ОСЗ! (ДОХОДНЫЙ ДОМ В ДОХОДНОМ МЕСТЕ ) Приметы объекта недвижимости: -Отдельно Стоящее Здание в ЦЕНТРЕ города ВСЕВОЛОЖСКА,Ленинградской области -Развитая инфраструктура -2 этажа – 750 м2 -Все сети , в том числе газ -Без отделки -Земельный участок -1520 м2 -Объект сдан -Собственность",
186,"Продажа. Торгово-развлекательный центр «Олимп» (г. Пенза). Расположение: г. Пенза, пр. Строителей 9 (пересечение пр.Строителей и улицы Глазунова.). Общая площадь здания - 15210,5 кв.м. Арендная площадь здания - 9600 кв.м. Этажность - 4 этажа. Парковка - Подземная на 44 и наземная на 90 машиномест. Дата открытия: 22 октября 2008 года. Описание: Торговый центр находится в северо-западной части города Пензы (Октябрьский район) и располагается на пересечении Проспекта Строителей и улицы Глазунова. Месторасположение торгово-развлекательного центра характеризуется отличной транспортной доступностью, нахождением на первой линии оживленной магистрали, удобными подъездными путями. Интенсивность транспортного потока по проспекту Строителей составляет 1400 — 1800 машин в час. В зоне пятиминутной транспортной доступности от торгового центра проживает около 200 тысяч человек.",
187,"Продается ТРЦ Фаворит (г. Тюмень). Удаленность: ТРЦ Фаворит расположен в южной части города в спальном 6 мкр. недалеко от центра города. Существует хорошая транспортная доступность, в том числе, всех видов общественного городского транспорта Этажность: 3 этажа. Год постройки: 2008. Группа капитальности здания: I. Общая площадь: 26085,8 кв.м. Торговая площадь: 13 086 кв.м. Парковка: одноуровневая на 500 автомобилей Здание торгового центра находится под охраной, помещение оборудовано системой пожарооповещения. В торговом центре функционирует более 46 основных арендаторов, в том числе, 5 -зальный кинотеатр (1175,6 кв.м.), зона food – court (ресторан, кофейня), салон красоты, химчистка и прочее.",
188,"- земельный участок 10 030 кв.м - здание 2208,1 кв.м. ( 2 этажа) - здание (склад 259,5 кв.м., 1 этаж) - здание 24,5 (проходная 1 этаж) - сооружение ЖД тупик Фото и видео по запросу предоставлю дополнительно.",
189,"Предлагаем для вашего бизнеса нежилое помещение площадью 431,1 кв.м., расположенное на 1 этаже трехэтажного жилого дома, по адресу: Смоленская область, г.Сафоново, ул.Строителей, д.7 на пересечении с центральной улицей Ленина(рядом центр. площадь). Помещение имеет 2 входа с улицы(главный) и 2 входа с торца здания(разгрузочный). Высота потолков 3,5 м., что позволяет получить лицензию для медицинского центра. Мощность 25кВт(есть возможность увеличения), все коммуникации проведены. Преимущества помещения-это свободная планировка, что позволяет сделать помещение кабинетного типа или оставить «open space». Имеется свободная парковка, Вы и Ваши клиенты всегда найдут место, чтобы припарковать свой автомобиль. Помещение подойдет под аптеку, магазин, салон красоты, офис. Продается без чистовой отделки, что позволяет спланировать и отремонтировать помещение под свои цели.",
190,"Продаю универсальные помещения, площадью от 100 до 257 кв.м. на первом этаже, и до 1 000 кв.м. в цокольном этаже, здания по адресу: г. Самара, пр. Ленина,д.6. Свидетельство на право собственности. Расположение на первой линии развитой зоны street-retail по проспекту Ленина. Высокий автомобильный и пешеходный трафик. Парковка. Изолированные входы. Панорамное остекление фасада. Свободная планировка, рациональный шаг колонн. Цена первого этажа 186 300 руб./кв.м. Цена цокольного этажа 32 400 руб./кв.м",
191,"Продается два нежилых помещения площадью 372кв.м и 200кв.м, весь первый этаж и половина второго этажа одноподъездного 10-ти этажного жилого дома. 372кв.м – 2 этажа, 2 сан.узла, кабинеты, сигнализация, телефонные точки, интернет, факс, отдельный вход, удобные подъездные пути, оживленное проходимое место, парковка. Помещение площадью 200кв.м – действующий спортивный клуб, высота потолков 4,5м, тренажерный и аэробные залы, 2 сауны, 4 душевые кабины, массажная комната, солярий, ресепшн, отдельный вход, удобные подъездные пути, парковка, оживленное проходимое место.",
192,"Кирпичное здание (2этажа+цоколь) Ремонт, коммуникации, автономное отопление, парковка. Земельный участок в собственности 530 кв.м. (огорожен, благоустроен) место расположение в центре спального района 'Монгора' 2 линия",
193,"Продается 3-этажное нежилое помещение (часть административного здания) площадью 595,9 кв.м с двумя отдельными входами со стороны фасада.: 1 этаж - 236,6 кв.м, высота потолков - 3,1 м. 2 этаж - 245,1 кв.м, высота потолков - 3,2 м. 3 этаж - 114,2 кв.м, высота потолков - 2,8 м. Коммуникации в рабочем состоянии, парковка на прилегающей территории. Ранее в помещении располагалось отделение банка. Прямая продажа от Собственника (Банк) без обременений по договору купли-продажи. Дополнительную информацию направим по запросу.[#1182968#]",
194,"Помещение под магазин Косметики/Дроггери, площадью 42 кв.м. , расположено в ТПУ в составе Апарт-Отеля YE'S. На 1 этаже, высокие потолки, большие витрины, хорошие рекламные возможности, вечерняя сторона проспекта Андропова. ТПУ соединен с метро Технопарк пешеходным мостом. Передача помещения в 4 квартал 2020 г. Аренда напрямую от застройщика.[#1165351#]",
195,"Помещение под детскую студию, детское кафе 128,4 кв.м. на 1 этаже имеет 2 отдельных входа, высокие потолки, большие витрины, хорошие рекламные возможности. Новый ЖК комфорт класса Life Кутузовский. Передача помещения 2 квартал 2019 г. Аренда напрямую от застройщика.[#1165341#]",
196,"Помещение под пекарню, 80,6 кв.м. На 1 этаже имеет отдельный вход на ул Багрицкого, высокие потолки, большие витрины, хорошие рекламные возможности. Новый ЖК комфорт класса Life Кутузовский. Передача помещения 2 квартал 2020 г. Аренда напрямую от застройщика.[#1165343#]",
197,"Помещение свободного назначения 189,9 кв.м. расположено в центре пешеходного бульвара. На 1 этаже имеет 2 отдельных входа, высокие потолки, большие витрины, хорошие рекламные возможности. Новый ЖК комфорт класса Life Кутузовский . Передача помещения 2 квартал 2019 г. Аренда напрямую от застройщика.[#1165332#]",
198,"Торговое помещение 277,5 кв.м на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-2,8м. Имеется пожарная и охранная сигнализация,вентиляция,кондиционирование. Окружение- Ипподром Акбузат, мебельный центр 'Мебельвилль', большое количество отделений банков.",
199,"Торговое помещение 214,8 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-2,7м. Имеется пожарная сигнализация,вентиляция,кондиционирование. Окружение- магазин 'Продукты', торговый центр 'Купец'.",
200,"Торговое помещение 70,4 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-3м. Окружение- ТСК 'Чайка', фитнес-парк 'Чемпион', сеть магазинов 'Техно'.",
201,"Торговое помещение 34,7 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-3м. Оператор телефонной связи- по запросу. Электрическая мощность-10квт.",
202,"Торговое помещение 533,2 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-3м. Имеется пожарная и охранная сигнализация,вентиляция и кондиционирование. Окружение- Магазин обуви 'ЦентрОбувь', Конгресс Холл, ТДК 'Гостиный двор', Башкирский государственный университет.",
203,"Продается встроенно-пристроенное помещение свободного назначения. 2этажа.Центр города, земля в собственности парковка на 100а/м, свободная планировка, черновая отделка.",
204,Продается часть помещения первого этажа жилого дома Расположено на самой центральной улице города Есть отдельных вход с ул.50 лет Октября Центр культурной и деловой жизни города Плотная жилая застройка Ознакомиться с полным перечнем реализуемого имущества вы сможете на нашем сайте,
205,"Трехэтажный ТЦ 'Спутник'. Район: Центрельный (пересечение ул.Терешковой и пр.Октябрьский) Паркинг: 100 м/м Арендаторы: - на первом этаже располагается продуктовый гипермаркет - на втором этаже полный пул арендаторов (одежда, детские товары, мебель, сфера услуг) - на третьем этаже популярный ночной клуб 'Засада' Наполняемость: 100%",
206,"Торговое помещение 82 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-3м. Окружение- ООО КБ Ренессанс Капитал, МТС, сотовая компания, МегаФон, сотовая компания.",
207,"Торговое помещение 49,4 кв.м. на 1 этаже с отдельным входом. Отделка-чистовая. Высота потолка-2,7м. Окружение- Гостиница 'Южная', сеть шинных центров 'Таганка', офисы компаний. Объект универсального назначения. Ранее в помещениии располагалась стоматология, ремонт соответствующий, два с/у.",
208,"ВНИМАНИЕ АУКЦИОН! Продажа объектов коммерческой недвижимости через открытый аукцион. Местоположение: г. Новокузнецк, ул. Орджоникидзе 38А. Назначение: торговое; офисное; развлекательное. Технические характеристики: Площадь общая: 736,6 м2. Гараж: 69,6. Земельный участок: 918 м2 (аренда с возможностью выкупа). Высота потолка: 310 см. Парковка: 15 автомобилей. Предлагается к продаже через открытый аукцион, отдельно стоящее здание в Центральном районе города Новокузнецка, находящееся на одной из главных улиц города. Наличие собственной парковки на 15 автомобилей. Здание находится в хорошем состоянии, возможно увеличение площади объекта за счет надстройки дополнительного этажа. Земля под зданием находится в аренде с возможностью ее дальнейшего выкупа. Преимуществом здания является возможность сделать любые необходимые перепланировки, ограниченные только наружными стенами. Возможно использование здания в качестве супермаркета, банка, офисного центра, торгового центра, ресторана, аптеки, магазина стройматериалов, медицинского центра. Наличие гаража с дополнительной площадью 69,6 м2 позволяет беспрепятственно производить загрузку и выгрузку товара без создания помех окружающим. Заявки на участие в аукционе принимаются до 30.09.2011 г. Ознакомиться с инвестиционными предложениями и дополнительной информацией Вы можете в офисе АН «Квадратный МЕТР». Дополнительная информация в офисе или по телефонам: г. Новокузнецк, ул. Сеченова 28А, офис 702 (Бизнес-центр Меридиан). Тел. (3843) 600-557; 600-558. Агентство недвижимости «Квадратный метр»",
209,"Продажа (арендный бизнес) помещения общей площадью 1548,3 кв.м. ЦАО м. Маяковская 3 мин. Пешком. Ул. 2я Брестская. Все площади расположены в бизнес центре класса А и включают: Офисное помещение 1027,8 кв.м. Целиком Офисный этаж со всеми коммуникациями. Торговое помещение 211,5 кв.м. расположено на 1 этаже с огромными витринам 2 отдельными входами великолепным рекламным потенциалом и высоким пешеходным И автомобильным трафиком. Парковочные места 13шт. в подземном охраняемом паркинге. Отличные инвестиции в собственное развитие или Быстро окупаемый арендный бизнес. Продажа единым лотом. 260млн.руб.",
210,"Продажа трех-этажного торгового центра. Трех-этажное отдельно стоящее здание (высокий цоколь со световыми окнами и 2 этажа) площадью 3 300 кв.м. находится на ул. Ильюшина в 5 минутах ходьбы от ст.м. Комендантская площадь» в центре густонаселенного жилого массива на магистральной автодороге с оживленном движением. Торговые площади свободной планировки, высота потолков 3,4 м. Площадь этажа 1 100 кв.м. Подключено 300 кВт электроэнергии. Парковка на 30 машиномест. Стоимость кв.м. – 80 000 рублей.",
211,"Продам пятиэтажный торговый центр «Фараон» общей площадью 5910 кв.м на ул. Галущака, 1а в Заельцовском районе Новосибирска. Сдан в эксплуатацию в конце 2005 года, все площади сданы в аренду. 447 кВт. На 1-м этаже находится действующий супермаркет (аренда) общей площадью ~1370 кв.м. Возможна поэтажная продажа. Подробности на http://www.torgc.ru Возможна организация кредитования покупки объекта до 70% от его стоимости!",
212,"Продается помещение свободного назначения, расположенное на первом этаже жилого дома в центральной части города, вблизи площади имени Ленина. Площадь помещения составляет 83,9 кв.м. Имеется отдельный вход, так же в помещении установлен кассовый узел для взаиморасчетов и сейфовая комната. Помещение обеспечено всеми центральными коммуникациями Водоснабжение, водоотведение, электроснабжение, отопление. Местоположение привлекательно трафиком проходимости. Идеально подойдет под торговое помещение. Прямая продажа от собственника, без комиссии. Документы в порядке и готовы для сделки.[#1147999#]",
213,"Продается нежилое помещение общей площадью 759.3 кв.м на 1 этаже жилого дома по адресу: Казань, 2-я Азинская улица, 3Б. Прямая продажа от Собственника. Дополнительную информацию можно уточнить по телефону, указанному в объявлении.[#1126642#]",
214,"Продается 3-этажное нежилое помещение (часть административного здания) площадью 595,9 кв.м с двумя отдельными входами со стороны фасада.: 1 этаж - 236,6 кв.м, высота потолков - 3,1 м 2 этаж - 245,1 кв.м, высота потолков - 3,2 м 3 этаж - 114,2 кв.м, высота потолков - 2,8 м Коммуникации в рабочем состоянии, парковка на прилегающей территории. Ранее в помещении располагалось отделение банка. Прямая продажа от Собственника (Банк) без обременений по договору купли-продажи. Дополнительную информацию направим по запросу.[#967139#]",
215,"Расположен на первом этаже жилого дома, отдельный вход.",
216,"Продажа: Москва ул. Федора Полетаева д. 36 к. 2 Отдельно стоящее здание , 2 этажа (1 эт. 355 м. кв., мансарда 357 м. кв.) , первая линия. Очень активный пешеходный и автомобильный трафик. Мансарда желательно под реконструкцию. Можно использовать как торговое или офисное. Цена 45000000 р. Торг",
217,"Продается помещение свободного назначения, расположенное на 2 и цокольном этажах двухэтажного отдельностоящего здания. Есть отдельный вход и отдельный лифт на цоколь и 2 этаж. На первом этаже магазин 'Магнит'. Здание расположено в районе с развитой инфраструктурой, с хорошей транспортной и пешеходной доступностью. Собственник. Прямая продажа, объект без обременений.[#1138444#]",
218,"Предлагается в аренду помещение под офис/склад/шоу-рум. Площадь -54,09 кв. м. Расположение: 17 корпус, 1-2 этаж (двухуровневое). Аренда от Собственника. Деловой Центр 'Новь' - современный бизнес-центр класса В с офисами, торговыми и выставочными павильонами, представляющий арендаторам полный комплекс услуг. Деловой Центр занимает территорию площадью 3,6 гектара, где расположены 19 объектов недвижимости общей площадью 60 000 кв. м. Ремонт и усовершенствование зданий в 2007 году, с полной заменой всех инженерных коммуникаций позволили разместить в них высококлассные офисы, магазины, ресторан, кафе и фитнес клуб. Просторные и светлые помещения и современная планировка зданий отвечают любым требованиям арендаторов. Офисы оснащены новейшими системами энергоснабжения, пожаротушения и вентиляции. Деловой Центр 'НОВЬ' имеет удобное расположение в историческом центре Москвы, в 5 мин. от м. Бауманская/Красносельская, 10 мин. от м. Комсомольская и площади трех вокзалов. Удобная транспортная доступность обеспечивается близостью Садового и Третьего Транспортного кольца, а также других крупных транспортных магистралей и развязок! Звоните![#1132448#]",
219,"Отдельно-стоящее здание. 3 этажа, мансарда, подземный паркинг. Состояние – под чистовую отделку, планировка открытая, подземный паркинг 18 м/м, договор аренды земельного участка до 2050 года. Собственность. Подробное описание объекта смотрите здесь: http://kommerstate.ru/realty/4872/",
220,"Здание расположено на Садовом Кольце, первая линия домов, большие витрины. 1 этаж нежилого дома, электрическая мощность 70 кВт. Подробное описание объекта смотрите здесь: http://kommerstate.ru/realty/2817/",
